totaal(deaths)	crew(deaths)	passenger(deaths)	ground(deaths)	notes(deaths)	type	incident	aircraft	location	phase	airport	distance	date
166	10	156	0	†	COM	Aeroflot Flight 4227	Tupolev Tu-154B-2	kaaAlmaty, Kazakhstan	ENR [88]	ALA	5 km (3.1 mi)	7/8/1980
163	6	147	10	†	COM	Dana Air Flight 992	McDonnell Douglas MD-83	nigerilLagos, Nigeria	APR [89]	LOS	9.3 km (5.8 mi)	6/3/2012
162	7	155	0	†	COM	Indonesia AirAsia Flight 8501	Airbus A320-216	nigerilKarimata Strait, between Belitung and Borneo, Java Sea, Indonesia	ENR [90]			12/28/2014
162	7	155	0	1*	COM	All Nippon Airways Flight 58 and JASDF (92-7932)	Boeing 727-281 and F-86 Sabre	jshShizukuishi, Japan	ENR [91]			7/30/1971
160	8	152	0	†	COM	West Caribbean Airways Flight 708	McDonnell Douglas MD-82	vemacMachiques, Venezuela	ENR [92]			8/16/2005
160	14	146	0	†	COM	China Northwest Airlines Flight 2303	Tupolev Tu-154M	chinxXian, China	ENR [93]			6/6/1994
159	8	151	0		COM	American Airlines Flight 965	Boeing 757-223	colbunear Buga, Colombia	APR [94]	CLO	c. 48 km (30 mi)	12/20/1995
159	19	140	0	†	COM	South African Airways Flight 295	Boeing 747-244B	indomIndian Ocean, area of Mauritius	ENR [95]			11/28/1987
158	6	152	0		COM	Air India Express Flight 812	Boeing 737-8HG	indimaMangalore, India	LDG [96]	IXE		5/22/2010
158	6	152	0	†	MIL	Nigerian Air Force (NAF911)	Lockheed C-130H Hercules	nigerilLagos, Nigeria	ENR [97]			9/26/1992
157	10	147	0		COM	Libyan Arab Airlines Flight 1103 and Libyan Air Force	Boeing 727-2L5 and Mikoyan-Gurevich MiG-23	libyqQasr bin Ghashir, Tripoli, Libya	APR [98]	TIP	9 km (5.6 mi)	12/22/1992
156	11	145	0	†	COM	Pakistan International Airlines Flight 740	Boeing 707-340C	satnear Taif, Saudi Arabia	ENR [101]			11/26/1979
156	8	148	0	†	COM	Interflug (DM-SEA)	Ilyushin Il-62	gerkKönigs Wusterhausen, Germany	ENR [102]			8/14/1972
156	6	148	2	1*	COM	Northwest Airlines Flight 255	McDonnell Douglas DC-9-82	usmiRomulus, Michigan, US	TOF [99][100]	DTW	<0.5 km (0.3 mi)	8/16/1987
155	7	148	0	†	COM	Spantax Flight 275	Convair 990 Coronado	spctsSan Cristóbal, Tenerife, Canary Islands, Spain	ICL [104]	TFN	0.33 km (0.2 mi)	12/3/1972
155	10	74	71	†	COM	Viasa Flight 742	McDonnell Douglas DC-9-32	vemarMaracaibo, Venezuela	ICL [105]	MAR	0.85 km (0.5 mi)	3/16/1969
155	5	150	0		MIL	US Air Force (68-0218)	Lockheed C-5A Galaxy	visSaigon, South Vietnam	ENR [103]			4/4/1975
154	6	148	0		COM	Spanair Flight 5022	McDonnell Douglas MD-82	spmadMadrid, Spain	TOF [106]	MAD	<0.5 km (0.3 mi)	8/20/2008
154	6	148	0	†	COM	Gol Transportes Aéreos Flight 1907 and ExcelAire (N600XL)	Boeing 737-8EH and Embraer Legacy 600	brpenear Peixoto Azevedo, Brazil	ENR [107]			9/29/2006
154	8	146	0	†	COM	Turkish Airlines Flight 452	Boeing 727-2F2	tuiIsparta, Turkey	APR [108]	Isparta***[nb 6]		9/19/1976
153	7	138	8	†	COM	Pan Am Flight 759	Boeing 727-235	uslolkKenner, Louisiana, US	ICL [109][110]	MSY	<1 km (0.6 mi)	7/9/1982
152	6	146	0	†	COM	Airblue Flight 202	Airbus A321-231	pakiIslamabad, Pakistan	APR [111]	ISB	15 km (9.3 mi)	7/28/2010
152	11	141	0	1*	COM	Yemenia Flight 626	Airbus A310-324	commMozambique Channel off Mitsamiouli, Comoros	APR [112]	HAH	c. 40 km (25 mi)	6/30/2009
150	6	144	0	†	COM	Germanwings Flight 9525	Airbus A320-211	near French Alps, France	ENR [113]			3/24/2015
